chapter_no,verse_no,question,answer
1,1,"અધ્યાય ૧, શ્લોક ૧ માં, કુરુક્ષેત્રની પૃષ્ઠભૂમિ પર ધૃતરાષ્ટ્ર કોણ સાથે વાત કરે છે?",ધૃતરાષ્ટ્ર સંજય સાથે વાત કરે છે. તે સંજયની દ્રષ્ટિથી કુરુક્ષેત્રમાં જે બની રહ્યું છે તે જાણવા માંગે છે.
1,1,ધર્મક્ષેત્રે કુરુક્ષેત્રે એકત્રિત લોકો કયા હેતુથી એકત્રિત થયા છે?,ધર્મક્ષેત્રે કુરુક્ષેત્રે એકત્રિત લોકો યુદ્ધ કરવા માટે એકત્રિત થયા છે. તેઓ યુધ્ધ માટે ઉત્સુક છે.
1,1,કુરુક્ષેત્રને શ્લોકમાં કેવી રીતે વર્ણવવામાં આવ્યું છે?,"કુરુક્ષેત્રને 'ધર્મક્ષેત્ર' તરીકે વર્ણવવામાં આવ્યું છે, જે પવિત્ર ભૂમિનો સંકેત આપે છે જ્યાં ધર્મ અને ન્યાય માટે યુદ્ધ થાય છે."
1,1,ધૃતરાષ્ટ્ર કુરુક્ષેત્રમાં બનેલી ઘટનાઓને લઈને શા માટે ચિંતિત છે?,"ધૃતરાષ્ટ્ર ચિંતિત છે કારણ કે તે યુદ્ધના પરિણામોને લઈને અનિશ્ચિત છે. તે જાણવા ઇચ્છે છે કે તેમના પુત્રો અને પાંડવોએ કુરુક્ષેત્રમાં શું કર્યું, કેમ કે તે યુદ્ધના પરિણામથી ભયભીત છે."
1,1,મામકાનો અને પાંડવોનું યુદ્ધ શાના પર આધારિત છે?,"મામકાનો અને પાંડવોનું યુદ્ધ ધર્મ અને ન્યાય માટે છે. તે કુરુક્ષેત્રનો ધર્મ યુદ્ધ છે, જે સત્ય અને અસત્ય વચ્ચેનો સંઘર્ષ દર્શાવે છે."
1,2,"અધ્યાય ૧, શ્લોક ૨ માં, દુર્યોધન કયા સમયે દ્રોણાચાર્ય પાસે ગયા?",દુર્યોધન પાંડવોની સેનાને યુદ્ધ માટે તૈયાર જોઈને દ્રોણાચાર્ય પાસે ગયા.
1,2,"અધ્યાય ૧, શ્લોક ૨ માં, દ્રષ્ટ્વા તુ પાંડવાનીકમ્ શબ્દો કોણ બોલે છે?","આ શબ્દો સંજય બોલે છે, જ્યારે તે ધૃતરાષ્ટ્રને કુરુક્ષેત્રના યુદ્ધની વ્યાખ્યા આપે છે."
1,2,દુર્યોધન પાંડવોની સેનાને જોઈને દ્રોણાચાર્યને શું કહેવા જઈ રહ્યા છે?,દુર્યોધન પાંડવોની સેનાની વ્યૂહરચના જોઈને ચિંતિત છે અને દ્રોણાચાર્યના માર્ગદર્શન માટે તેમનો સંપર્ક કરે છે.
1,2,સંજય દ્રોણાચાર્યને કઈ રીતે સંબોધન કરે છે?,"સંજય દ્રોણાચાર્યને 'આચાર્ય' તરીકે સંબોધન કરે છે, જે તેમની શિક્ષણ અને વરિષ્ઠતા માટેનું સમ્માન છે."
1,2,દુર્યોધન પાંડવોની સેનાની વ્યૂહરચના જોઈને કેમ દ્રોણાચાર્ય પાસે જાય છે?,દુર્યોધન પાંડવોની સેનાની વ્યૂહરચના જોઈને ચિંતિત હોય છે અને તે દ્રોણાચાર્ય પાસે જઇને સલાહ અને સમર્થન મેળવવા ઈચ્છે છે.
