chapter_no,verse_no,question,answer
1,1,"अध्याय १, श्लोक १ में, अध्याय १, श्लोक १ में धृतराष्ट्र किससे बात कर रहे हैं?",धृतराष्ट्र संजय से बात कर रहे हैं। वे उनसे युद्धभूमि कुरुक्षेत्र में उपस्थित अपने और पाण्डु के पुत्रों की स्थिति के बारे में पूछते हैं।
1,1,धृतराष्ट्र ने कुरुक्षेत्र को किस विशेषण से संबोधित किया है?,"धृतराष्ट्र ने कुरुक्षेत्र को 'धर्मक्षेत्र' कहा है, जिसका अर्थ है धर्म की भूमि।"
1,1,धृतराष्ट्र ने अपने और पाण्डु के पुत्रों के लिए 'युयुत्सवः' शब्द का प्रयोग क्यों किया है?,धृतराष्ट्र ने 'युयुत्सवः' शब्द का प्रयोग यह दर्शाने के लिए किया है कि दोनों पक्ष युद्ध के लिए उत्सुक और तैयार हैं। यह युद्ध की गंभीरता और दोनों पक्षों की इच्छाशक्ति को इंगित करता है।
1,1,कुरुक्षेत्र को 'धर्मक्षेत्र' क्यों कहा गया है?,कुरुक्षेत्र को 'धर्मक्षेत्र' इसलिए कहा गया है क्योंकि यह वह स्थान है जहाँ धर्म और अधर्म के बीच संघर्ष होने वाला है। यह भूमि धार्मिक और ऐतिहासिक दृष्टि से पवित्र मानी जाती है।
1,1,धृतराष्ट्र के प्रश्न से हमें क्या सीख मिलती है?,"धृतराष्ट्र के प्रश्न से हमें यह सीख मिलती है कि व्यक्ति को केवल अपने पक्ष की चिंता नहीं करनी चाहिए, बल्कि समस्त परिस्थिति को समझने का प्रयास करना चाहिए। यह प्रश्न उनके अंधकारमय दृष्टिकोण और मानसिक अशांति को भी प्रकट करता है।"
1,2,"अध्याय १, श्लोक २ में, किसने दुर्योधन के वचन कहने की घटना का वर्णन किया है?",इस श्लोक में सञ्जय ने दुर्योधन के द्वारा द्रोणाचार्य से कहे गए वचन की घटना का वर्णन किया है। सञ्जय धृतराष्ट्र को युद्धभूमि की घटनाओं का वर्णन कर रहे हैं।
1,2,दुर्योधन ने पाण्डवों की किस स्थिति को देखकर द्रोणाचार्य के पास जाने का निर्णय लिया?,"दुर्योधन ने पाण्डवों की सेना को व्यूह रचना में देखकर द्रोणाचार्य के पास जाने का निर्णय लिया। यह स्थिति उसे चिंताजनक प्रतीत हुई, जिससे उसने अपने गुरु से इस पर चर्चा करने की सोची।"
1,2,दुर्योधन के द्रोणाचार्य के पास जाने का क्या महत्व है?,"दुर्योधन के द्रोणाचार्य के पास जाने का महत्व यह है कि वह अपने गुरु से मार्गदर्शन और समर्थन प्राप्त करना चाहता था। द्रोणाचार्य कौरवों के महत्वपूर्ण सलाहकार थे, इसलिए दुर्योधन ने उनसे युद्ध की रणनीति पर चर्चा करना उचित समझा।"
1,2,दृष्ट्वा तु पाण्डवानीकं व्यूढं का क्या अर्थ है?,"दृष्ट्वा तु पाण्डवानीकं व्यूढं का अर्थ है 'पाण्डवों की सेना को व्यवस्थित रूप में देखकर'। यह वाक्य दर्शाता है कि पाण्डवों की सेना युद्ध के लिए पूरी तरह तैयार थी, जिसे देखकर दुर्योधन चिंतित हो गया।"
1,2,दुर्योधन की प्रतिक्रिया से हमें क्या सीख मिलती है?,दुर्योधन की प्रतिक्रिया से हमें यह सीख मिलती है कि किसी भी चुनौतीपूर्ण परिस्थिति में हमें अपने मार्गदर्शकों और अनुभवी व्यक्तियों से सलाह लेनी चाहिए। भय और चिंता के समय में सही निर्णय लेने हेतु यह एक महत्वपूर्ण कदम होता है।
