dispute_id,variation_type,status,expected_network,actual_network,network_match,expected_category,actual_category,category_match,expected_code,actual_code,code_match,confidence,reasoning,description
gen_amex_A01_ambiguous,ambiguous,FAIL,amex,amex,True,general,unrecognized,False,A01,P05,False,0.9,"Category: The cardholder is questioning a discrepancy in their statement without claiming fraud or unauthorized charges, indicating they do not recognize the transaction details. | Code: The dispute description indicates that the user noticed discrepancies in the statement amounts compared to their expectations from a recent visit. This suggests that the charge amount may not match what the user anticipated, which aligns with the reason code P05 for 'Incorrect Charge Amount'.",I noticed something odd on my statement. The numbers don't seem to match what I expected from my last visit. Could you look into this for me? (Network: Amex)
gen_amex_A01_emotional,emotional,FAIL,amex,amex,True,general,fraudulent,False,A01,F24,False,0.95,"Category: The cardholder explicitly states they did not authorize the charge, indicating a claim of fraud. | Code: The dispute indicates that the user did not authorize the charges on their bill, which directly aligns with the reason code F24: No Cardholder Authorization. This code is specifically for cases where the cardholder claims they did not authorize a transaction, making it the most appropriate choice for this situation.",WHY IS MY BILL SO HIGH?! FIX THIS NOW! I DIDN'T AUTHORIZE THIS! (Network: Amex)
gen_amex_A01_narrative,narrative,PASS,amex,amex,True,general,unrecognized,False,A01,A01,True,0.95,"Category: The cardholder is questioning a charge that appears higher than expected but does not explicitly claim it was unauthorized or fraudulent. They are seeking clarification on the discrepancy. | Code: The dispute involves a charge that exceeds the amount the cardholder remembers authorizing. This directly aligns with reason code A01, which specifically addresses situations where the charge amount exceeds the authorized amount.","Hello, I hope you're having a good day. I recently checked my credit card statement and noticed a charge that was higher than what I remember authorizing. I was at the store last Tuesday, and I distinctly recall agreeing to a different amount. I even had a lovely chat with the cashier about the weather. Could you please help me understand why this discrepancy occurred? Thank you so much for your assistance. (Network: Amex)"
gen_amex_C02_emotional,emotional,PASS,amex,amex,True,credit_not_processed,credit_not_processed,True,C02,C02,True,0.95,"Category: The user is inquiring about a refund that has not been received after a significant amount of time, indicating that they returned goods or canceled services but did not receive the expected refund. | Code: The dispute clearly indicates that the user is inquiring about a refund that has not been processed, which directly aligns with the reason code C02: Credit Not Processed. The urgency and frustration expressed in the message further support that the issue is specifically about the lack of a refund being credited back to the account.",WHERE'S MY REFUND?! It's been WEEKS! FIX THIS NOW! (Network: Amex)
gen_amex_C02_narrative,narrative,PASS,amex,amex,True,credit_not_processed,credit_not_processed,True,C02,C02,True,0.95,"Category: The user is reporting that they were assured the charge would not go through and are now waiting for a credit to appear on their statement, indicating they did not receive the expected refund. | Code: The dispute involves a situation where the restaurant assured the customer that the charge would not go through, indicating that a credit should have been processed. However, the customer is still waiting for this credit to appear on their statement, which directly aligns with the reason code C02: Credit Not Processed.","Hello there, I hope this message finds you well. I recently had a lovely day out with my family, and we decided to treat ourselves to a nice dinner. I used my Amex card to pay, but unfortunately, the restaurant had some issues with their system. They assured me that the charge wouldn't go through, but it seems it did. I've been waiting for the credit to appear on my statement, but it's been quite some time now. Could you please look into this for me? Thank you so much for your help! (Network: Amex)"
gen_amex_A02_emotional,emotional,FAIL,amex,amex,True,general,fraudulent,False,A02,F24,False,0.95,"Category: The cardholder is expressing frustration over being charged without their permission, which indicates they did not authorize the transaction, aligning with the definition of fraudulent charges. | Code: The dispute indicates that the charge was made without the cardholder's permission, which directly relates to the lack of authorization for the transaction. The reason code F24, 'No Cardholder Authorization', is the most appropriate choice as it specifically addresses situations where a charge is disputed due to unauthorized use.",WHY was I charged without my permission?! FIX THIS NOW! (Network: Amex)
gen_amex_C02_ambiguous,ambiguous,FAIL,amex,amex,True,credit_not_processed,unrecognized,False,C02,P05,False,0.9,"Category: The cardholder is questioning a transaction on their statement that does not align with their expectations, indicating they do not recognize the details of the transaction, but they do not explicitly claim it is fraudulent. | Code: The dispute description indicates that the transaction did not align with the user's expectations, which suggests that there may have been an incorrect charge amount. This aligns closely with reason code P05, which specifically addresses incorrect charge amounts.",I noticed something odd on my statement. It seems like a transaction didn't quite align with what I expected. Could you help clarify this for me? (Network: Amex)
gen_amex_A08_emotional,emotional,FAIL,amex,amex,True,general,general,True,A08,A02,False,0.9,"Category: The dispute is about a card being declined and the cardholder seeking answers, but it does not indicate fraud, unrecognized transactions, or any issues related to goods or services. | Code: The dispute indicates that the user's card was declined, which typically suggests that there was no valid authorization for the transaction. This aligns closely with reason code A02, as it directly addresses the issue of a transaction being declined due to lack of authorization.",WHY was my card declined? FIX THIS NOW! I need answers ASAP! (Network: Amex)
gen_amex_A02_narrative,narrative,FAIL,amex,amex,True,general,fraudulent,False,A02,F24,False,0.95,"Category: The cardholder noticed a charge on their credit card statement that they do not recall authorizing, indicating a potential unauthorized transaction, which aligns with the definition of fraudulent. | Code: The dispute description indicates that the cardholder does not recall authorizing the charge, which suggests a lack of authorization for the transaction. This aligns closely with the reason code F24: No Cardholder Authorization, as it directly addresses the issue of an unrecognized charge on the statement.","Hello, I hope this message finds you well. I had quite a busy day yesterday, running errands and catching up with an old friend over coffee. However, when I checked my credit card statement this morning, I noticed a charge that I don't recall authorizing. It's quite puzzling because I always make sure to double-check my transactions. Could you please help me understand what happened here? Thank you so much for your assistance. (Network: Amex)"
gen_amex_A02_ambiguous,ambiguous,FAIL,amex,amex,True,general,unrecognized,False,A02,F24,False,0.9,"Category: The cardholder noticed something odd on their statement and mentioned a mix-up with one of the entries, indicating they do not recognize the transaction details, but they do not explicitly claim fraud. | Code: The dispute description indicates that there was a mix-up with one of the entries on the statement, suggesting that the charge may not have been authorized by the cardholder. The reason code F24 (No Cardholder Authorization) fits this situation as it directly addresses issues related to unauthorized charges.",I noticed something odd on my statement. It seems like there was a mix-up with one of the entries. Could you look into it for me? (Network: Amex)
