Trace_ID,User_Query,Expected_Reason,Predicted_Reason,Expected_Network,Predicted_Network,Confidence,Reasoning,Dimension_Tuple,Reason_Match,Network_Match
SYN075,"Ugh, I’m so frustrated! I tried using my Discover card for a low payment on my subscription services, and now it says it’s canceled. What is going on? Can someone please help me?",subscription_canceled,13.2,discover,discover,0.9,"The dispute involves a subscription service that the user believes has been canceled, which aligns with the reason code for subscription cancellation (13.2). The mention of the Discover card confirms the payment network.","{""DisputeReason"":""subscription_canceled"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""frustrated"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN102,"Hey, I need assistance with an old transaction I made. I paid for some products with my Visa, but they never arrived. What can I do?",product_not_received,13.1,visa,visa,0.95,"The payment network is identified as Visa based on the explicit mention in the dispute description. The reason code is classified as 13.1 (Merchandise Not Received) because the customer states that they paid for products that never arrived, which directly aligns with this reason code.","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""old_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN049,Why does my amex show 2 charges for the same merchandise?,duplicate,12.6,amex,amex,0.95,"The dispute mentions '2 charges for the same merchandise', which indicates a duplicate transaction issue. The payment network is explicitly stated as 'amex', and the reason code for duplicate charges is 12.6.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN022,got charged but no credit for my recent mastercard order,credit_not_processed,13.6,mastercard,mastercard,0.95,"The dispute mentions a charge with no credit for a recent Mastercard order, indicating that a refund was expected but not received. This aligns with the reason code 13.6 for 'Credit Not Processed'. The network is identified as Mastercard based on the explicit mention in the description.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN128,"Dear support team, I encountered a situation where a recent Amex transaction for merchandise was not processed. Could you please provide guidance on how to rectify this?",credit_not_processed,13.1,amex,amex,0.9,"The dispute involves an Amex transaction where the merchandise was not processed, indicating that the customer did not receive the item they paid for. This aligns with the reason code for 'Merchandise Not Received' (13.1). The network is identified as 'amex' based on the explicit mention in the description.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""formal"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}",0,1
SYN155,"Could you assist me with an issue? I found an unrecognized merchandise charge on my MasterCard account, and it’s a high amount. It’s kinda confusing, so I’d like to dispute it or at least get more information. Thanks!",unrecognized,10.4,mastercard,mastercard,0.95,"The dispute involves an unrecognized merchandise charge on a MasterCard account, indicating a potential unauthorized transaction. The reason code 10.4 is appropriate as it reflects the customer's claim of not recognizing the charge.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN181,Double charge on mastercard for merch purchase,duplicate,12.6,mastercard,mastercard,0.95,"The dispute involves a double charge for a merchandise purchase, which directly corresponds to the reason code for duplicate transactions (12.6). The payment network is identified as Mastercard based on the description.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN050,"Got charged twice on amex for something cheap, what is going on?!",duplicate,12.6,amex,amex,0.95,"The dispute mentions being charged twice on Amex, which indicates a duplicate transaction. The specific mention of 'charged twice' aligns with the reason code 12.6 for duplicate billing. The network is identified as Amex based on the explicit mention in the description.","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""amex"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""confused"",""TransactionContext"":""low_amount"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
SYN208,"To whom it may concern, I would like to formally address a high-value transaction on my Discover account that I do not recognize. It appears to be a charge from a service provider, but I cannot identify what it pertains to. Kindly assist me in initiating a dispute for this payment as it is causing me concern. Thank you.",unrecognized,10.4,discover,discover,0.95,"The dispute involves a high-value transaction on a Discover account that the customer does not recognize, indicating potential fraud. The specific mention of an unrecognized charge aligns with the reason code for unauthorized transactions (10.4). The confidence score is high due to the clear indication of a lack of recognition of the charge.","{""DisputeReason"":""unrecognized"",""PaymentNetwork"":""discover"",""MerchantServiceType"":""services"",""CustomerSentiment"":""formal"",""TransactionContext"":""high_amount"",""QueryStyleAndDetail"":""detailed_request_high_detail""}",0,1
SYN023,where's my credit for that merch I bought with my mastercard?,credit_not_processed,13.6,mastercard,mastercard,0.9,"The dispute mentions a credit for merchandise purchased with a Mastercard, indicating that the customer is expecting a refund that has not been processed. This aligns with the reason code 13.6, which pertains to credits not being processed. The confidence score is high due to the clear indication of a refund issue.","{""DisputeReason"":""credit_not_processed"",""PaymentNetwork"":""mastercard"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}",0,1
