Trace_ID,User_Query,Dimension_Tuple_JSON,Full_Bot_Trace_Summary,Open_Code_Notes,Failure_Mode_Network_Bias,Failure_Mode_Reason_Code_Granularity,Failure_Mode_Ambiguity_Misclassification,Failure_Mode_Contextual_Blindness,Actual_Reason_Code,Actual_Network
TRACE_SYN001,"duplicate charge on my visa, merchandise purchase","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}","Classified as: Reason=12.6, Network=visa. Confidence=0.95. Reasoning: The dispute mentions a 'duplicate charge' which directly corresponds to the Visa Reason Code 12.6 for duplicate transactions. The payment network is identified as 'visa' since it is explicitly mentioned in the description.",,0,0,0,0,12.6,visa
TRACE_SYN002,recent transaction visa was charged twice,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}","Classified as: Reason=12.6, Network=visa. Confidence=0.95. Reasoning: The dispute description indicates that the customer was charged twice for a recent transaction, which directly corresponds to the reason code for duplicate transactions (12.6). The payment network is identified as Visa since it is explicitly mentioned in the description.",,0,0,0,0,12.6,visa
TRACE_SYN003,merch issue: duplicate payment on visa,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}","Classified as: Reason=12.6, Network=visa. Confidence=0.95. Reasoning: The dispute mentions a 'duplicate payment', which directly corresponds to the Visa Reason Code 12.6 for duplicate transactions. The payment network is explicitly stated as 'visa', confirming the classification.",,0,0,0,0,12.6,visa
TRACE_SYN004,"2x charge on visa for merch, help!","{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}","Classified as: Reason=12.6, Network=visa. Confidence=0.95. Reasoning: The dispute mentions a '2x charge' which indicates a duplicate transaction. The payment network is explicitly stated as 'visa', and the reason code for duplicate charges is 12.6. The confidence score is high due to the clear indication of double billing.",,0,0,0,0,12.6,visa
TRACE_SYN005,i got charged twice on visa for a recent item,"{""DisputeReason"":""duplicate"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""short_keywords_minimal_detail""}","Classified as: Reason=12.6, Network=visa. Confidence=0.95. Reasoning: The dispute mentions being charged twice for a recent item, which directly corresponds to the reason code for duplicate transactions (12.6). The payment network is identified as Visa since it is explicitly mentioned in the description.",,0,0,0,0,12.6,visa
TRACE_SYN006,I made a recent purchase of merchandise using my visa but I haven't received the product yet. Can you help me resolve this?,"{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}","Classified as: Reason=13.1, Network=visa. Confidence=0.95. Reasoning: The payment network is identified as 'visa' based on the explicit mention in the dispute description. The reason code '13.1' is selected because the customer states they have not received the merchandise they purchased, which directly corresponds to the 'Merchandise Not Received' category.",,0,0,0,0,13.1,visa
TRACE_SYN007,"Hey, I ordered something not long ago and paid by visa, but it still hasn’t arrived. What can I do?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}","Classified as: Reason=13.1, Network=visa. Confidence=0.95. Reasoning: The payment network is identified as 'visa' based on the explicit mention in the dispute description. The reason code '13.1' is selected because the customer states that they ordered something that has not yet arrived, which directly corresponds to the 'Merchandise Not Received' category. The situation does not indicate any fraudulent activity, hence 'is_fraud' is set to false.",,0,0,0,0,13.1,visa
TRACE_SYN008,"I just wanted to check on a recent transaction for some merchandise I ordered with my visa. I haven’t gotten it yet, do you know what’s going on?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}","Classified as: Reason=13.1, Network=visa. Confidence=0.95. Reasoning: The payment network is identified as 'visa' based on the explicit mention in the dispute description. The reason code '13.1' is selected because the customer is inquiring about a merchandise order that has not yet been received, which aligns with the definition of 'Merchandise Not Received'.",,0,0,0,0,13.1,visa
TRACE_SYN009,"So I bought some stuff online with my visa recently, but the product hasn’t come through. Can you assist with this?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}","Classified as: Reason=13.1, Network=visa. Confidence=0.95. Reasoning: The payment network is identified as 'visa' based on the explicit mention in the dispute description. The reason code '13.1' is selected because the customer states that the product they ordered online has not arrived, which directly corresponds to the 'Merchandise Not Received' category.",,0,0,0,0,13.1,visa
TRACE_SYN010,"Hi, I used my visa for a recent purchase of merchandise, but the product hasn’t been delivered to me yet. What’s the next step to sort this out?","{""DisputeReason"":""product_not_received"",""PaymentNetwork"":""visa"",""MerchantServiceType"":""merchandise"",""CustomerSentiment"":""neutral"",""TransactionContext"":""recent_transaction"",""QueryStyleAndDetail"":""natural_question_moderate_detail""}","Classified as: Reason=13.1, Network=visa. Confidence=0.95. Reasoning: The payment network is identified as 'visa' based on the explicit mention in the dispute description. The reason code '13.1' is selected because the customer states that the merchandise has not been delivered, which directly corresponds to the issue of 'Merchandise Not Received'. The confidence score is high due to the clear nature of the complaint.",,0,0,0,0,13.1,visa
