Dispute ID,Old Category,New Category,Reasoning,Description
gen_amex_A01_emotional,general,authorization,Mapped from generic to specific auth issue,WHY IS MY BILL SO HIGH?! FIX THIS NOW! I DIDN'T AUTHORIZE THIS! (Network: Amex)
gen_amex_A01_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello, I hope you're having a good day. I recently checked my credit card statement and noticed a charge that was higher than what I remember authorizing. I was at the store last Tuesday, and I distinctly recall agreeing to a different amount. I even had a lovely chat with the cashier about the weather. Could you please help me understand why this discrepancy occurred? Thank you so much for your assistance. (Network: Amex)"
gen_amex_A01_ambiguous,general,authorization,Mapped from generic to specific auth issue,I noticed something odd on my statement. The numbers don't seem to match what I expected from my last visit. Could you look into this for me? (Network: Amex)
gen_amex_A02_emotional,general,authorization,Mapped from generic to specific auth issue,WHY was I charged without my permission?! FIX THIS NOW! (Network: Amex)
gen_amex_A02_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello, I hope this message finds you well. I had quite a busy day yesterday, running errands and catching up with an old friend over coffee. However, when I checked my credit card statement this morning, I noticed a charge that I don't recall authorizing. It's quite puzzling because I always make sure to double-check my transactions. Could you please help me understand what happened here? Thank you so much for your assistance. (Network: Amex)"
gen_amex_A02_ambiguous,general,authorization,Mapped from generic to specific auth issue,I noticed something odd on my statement. It seems like there was a mix-up with one of the entries. Could you look into it for me? (Network: Amex)
gen_amex_A08_emotional,general,authorization,Mapped from generic to specific auth issue,WHY was my card declined? FIX THIS NOW! I need answers ASAP! (Network: Amex)
gen_amex_A08_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello, I hope this message finds you well. I had quite an eventful day yesterday. I started with a lovely breakfast at my favorite café, and then I went shopping for some essentials. However, when I tried to use my Amex card at the store, it was unexpectedly declined. I was quite surprised because I had checked my balance earlier, and everything seemed fine. Could you please help me understand why this happened? Thank you so much for your assistance. (Network: Amex)"
gen_amex_A08_ambiguous,general,authorization,Mapped from generic to specific auth issue,"I was at the checkout, and something unexpected happened. The transaction didn't go through, and I was left standing there, unsure of what to do next. It was quite puzzling, and I hope you can shed some light on this situation. (Network: Amex)"
gen_amex_P05_emotional,general,incorrect_amount,Code P05 implies amount mismatch,WHY IS MY BILL SO HIGH?! FIX THIS NOW! I DIDN'T SPEND THAT MUCH! (Network: Amex)
gen_amex_P05_narrative,general,incorrect_amount,Code P05 implies amount mismatch,"Hello, I hope this message finds you well. I was reviewing my recent credit card statement over my morning coffee, and I noticed something odd. I remember purchasing a lovely set of kitchenware last week, but the amount charged seems higher than what I recall. I distinctly remember the cashier mentioning a discount, which doesn't seem to have been applied. Could you please look into this for me? Thank you so much for your assistance. (Network: Amex)"
gen_amex_P05_ambiguous,general,incorrect_amount,Code P05 implies amount mismatch,I was going through my statement and something doesn't quite add up. I remember a different figure when I made the purchase. Could you help clarify this for me? (Network: Amex)
gen_discover_AT_emotional,general,authorization,Mapped from generic to specific auth issue,WHY was my card charged without my OK? FIX THIS NOW! (Network: Discover)
gen_discover_AT_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello there, I hope you're having a good day. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. There was a charge that I don't recall authorizing. It's quite puzzling because I usually keep track of my expenses meticulously. Could you please help me understand what happened here? Thank you so much for your assistance. (Network: Discover)"
gen_discover_AT_ambiguous,general,authorization,Mapped from generic to specific auth issue,I noticed something unusual on my statement. It seems like there was a mix-up or misunderstanding with a recent transaction. Could you look into it and clarify what might have gone wrong? (Network: Discover)
gen_mastercard_4807_emotional,general,authorization,Mapped from generic to specific auth issue,WHY is my card blocked?! FIX THIS NOW! I NEED IT! (Network: Mastercard)
gen_mastercard_4807_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello there, I hope you're having a good day. I was just about to buy my morning coffee when I realized my card wasn't working. It was quite embarrassing, especially since I had already chatted with the barista about the weather. I checked my account, and everything seemed fine, so I'm not sure why this happened. Could you please help me understand what's going on? Thank you! (Network: Mastercard)"
gen_mastercard_4807_ambiguous,general,authorization,Mapped from generic to specific auth issue,"I was at the store, and something unexpected happened with my card. It was quite a surprise, and I'm not sure what to do next. Could you look into it? (Network: Mastercard)"
gen_mastercard_4812_emotional,general,authorization,Mapped from generic to specific auth issue,WHY is my card NOT working?! FIX THIS NOW! I NEED ANSWERS! (Network: Mastercard)
gen_mastercard_4812_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello there, I hope this message finds you well. I had quite a busy day today, running errands and trying to catch up on some work. However, I encountered a bit of a hiccup when I tried to use my Mastercard. It seems there was an issue with my account number not being recognized. I was quite surprised as I've been using this card for a while now without any problems. Could you please look into this for me? Thank you so much for your assistance! (Network: Mastercard)"
gen_mastercard_4812_ambiguous,general,authorization,Mapped from generic to specific auth issue,"I tried to make a purchase today, but something seemed off. The transaction didn't go through, and I'm not sure why. Could you check if everything is in order on your end? (Network: Mastercard)"
gen_mastercard_4808_emotional,general,authorization,Mapped from generic to specific auth issue,WHY was I charged TWICE?! FIX THIS NOW! UNACCEPTABLE! (Network: Mastercard)
gen_mastercard_4808_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello there, I hope this message finds you well. I recently had a rather busy day, running errands and catching up with an old friend over coffee. It was a lovely afternoon, but when I got home and checked my credit card statement, I noticed something odd. There was a charge that seemed to have been authorized twice for the same transaction. I'm a bit puzzled about how this happened, as I only made one purchase. Could you please help me understand and resolve this? Thank you so much for your assistance. (Network: Mastercard)"
gen_mastercard_4808_ambiguous,general,authorization,Mapped from generic to specific auth issue,I noticed something unusual on my statement after a recent shopping trip. It seems like my card was a bit too eager to participate. Could you help clarify this for me? (Network: Mastercard)
gen_openapi_gateway_response_QUOTA_EXCEEDED_emotional,,processing_error,Fixed empty category for QUOTA_EXCEEDED,WHY IS MY CARD BLOCKED?! FIX THIS NOW! I DIDN'T DO ANYTHING WRONG! (Network: Openapi_Gateway_Response)
gen_openapi_gateway_response_QUOTA_EXCEEDED_narrative,,processing_error,Fixed empty category for QUOTA_EXCEEDED,"Hello there, I hope you're having a wonderful day. I was just going about my usual routine, you know, grabbing my morning coffee and planning my errands when I suddenly found myself unable to use my credit card. It was quite embarrassing at the checkout line. I checked my account and everything seemed fine, so I'm really puzzled as to why this happened. Could you please help me understand what's going on? Thank you so much for your assistance. (Network: Openapi_Gateway_Response)"
gen_openapi_gateway_response_QUOTA_EXCEEDED_ambiguous,,processing_error,Fixed empty category for QUOTA_EXCEEDED,"I was trying to make a purchase, but it seems like my usual access isn't available. Could you look into this? It was unexpected, and I'm not sure what changed. (Network: Openapi_Gateway_Response)"
gen_visa_11.1_emotional,general,authorization,Mapped from generic to specific auth issue,WHY is my card blocked?! FIX THIS NOW! I NEED IT! (Network: Visa)
gen_visa_11.1_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello there, I hope you're having a good day. I was just trying to buy some groceries when my card was unexpectedly declined. It was quite embarrassing, especially since I had a long line of people behind me. I checked my account, and everything seemed fine. Could you please help me understand why this happened? Thank you so much for your assistance. (Network: Visa)"
gen_visa_11.1_ambiguous,general,authorization,Mapped from generic to specific auth issue,"I was at the store, and something unexpected happened with my card. It was quite a surprise, and I'm not sure what to do next. Can you look into it? (Network: Visa)"
gen_visa_11.2_emotional,general,authorization,Mapped from generic to specific auth issue,WHY WAS MY CARD DECLINED?! FIX THIS NOW! I NEED ANSWERS! (Network: Visa)
gen_visa_11.2_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello there, I hope you're having a wonderful day. I was just trying to buy some groceries yesterday, and to my surprise, my card was declined at the checkout. It was quite embarrassing, especially since I had a long line of people behind me. I checked my account, and everything seemed fine. Could you please help me understand what went wrong? Thank you so much for your assistance. (Network: Visa)"
gen_visa_11.2_ambiguous,general,authorization,Mapped from generic to specific auth issue,"I was at the store, and something unexpected happened with my card. It was quite inconvenient, and I had to leave without my items. Could you look into this for me? (Network: Visa)"
gen_visa_11.3_emotional,general,authorization,Mapped from generic to specific auth issue,WHY was my card charged without my OK? FIX THIS NOW! (Network: Visa)
gen_visa_11.3_narrative,general,authorization,Mapped from generic to specific auth issue,"Hello there, I hope you're having a good day. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. There was a charge that I don't recall authorizing. It's quite puzzling because I usually keep track of my expenses meticulously. Could you please help me understand how this happened? Thank you so much for your assistance! (Network: Visa)"
gen_visa_11.3_ambiguous,general,authorization,Mapped from generic to specific auth issue,I noticed something strange on my statement. It seems like there was a mix-up or oversight. Could you look into it? (Network: Visa)
gen_visa_12.5_emotional,general,incorrect_amount,Code 12.5 implies amount mismatch,WHY IS MY BILL WRONG? FIX THIS NOW! I DIDN'T SPEND THAT MUCH! (Network: Visa)
gen_visa_12.5_narrative,general,incorrect_amount,Code 12.5 implies amount mismatch,"Hello, I hope you're having a good day. I was just going through my credit card statement while sipping my morning coffee, and I noticed something odd. It seems the amount charged for my recent purchase at the bookstore is higher than what I remember paying. I distinctly recall the cashier saying it was $25, but my statement shows $35. Could you please help me understand this discrepancy? Thank you so much for your assistance! (Network: Visa)"
gen_visa_12.5_ambiguous,general,incorrect_amount,Code 12.5 implies amount mismatch,"I was reviewing my recent transactions and noticed something that doesn't quite add up. It's like when you expect a certain number of apples in a basket, but there are more than you remember picking. Could you help clarify this for me? (Network: Visa)"
gen_visa_13.8_emotional,general,credit_not_processed,Code 13.8 implies missing refund,WHY was my refund not processed?! FIX THIS NOW! I'm FURIOUS! (Network: Visa)
gen_visa_13.8_narrative,general,credit_not_processed,Code 13.8 implies missing refund,"Hello there, I hope you're having a good day. I recently tried to return an item I purchased, and the merchant assured me that the refund would be processed back to my card. However, it's been over two weeks, and I haven't seen any changes in my account. I even called the store, and they confirmed the transaction was completed on their end. I'm a bit puzzled and would appreciate any help you can provide. Thank you! (Network: Visa)"
gen_visa_13.8_ambiguous,general,credit_not_processed,Code 13.8 implies missing refund,I noticed something odd with my account. It seems like something I expected didn't quite happen. Could you look into it? (Network: Visa)
