dispute_id,old_category,new_category,Description,Reasoning
gen_amex_A01_emotional,general,authorization,WHY IS MY BILL SO HIGH?! FIX THIS NOW! I DIDN'T AUTHORIZE THIS! (Network: Amex),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A01).
gen_amex_A01_narrative,general,authorization,"Hello, I hope you're having a good day. I recently checked my credit card statement and noticed a charge that was higher than what I remember authorizing. I was at the store last Tuesday, and I distinctly recall agreeing to a different amount. I even had a lovely chat with the cashier about the weather. Could you please help me understand why this discrepancy occurred? Thank you so much for your assistance. (Network: Amex)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A01).
gen_amex_A01_ambiguous,general,authorization,I noticed something odd on my statement. The numbers don't seem to match what I expected from my last visit. Could you look into this for me? (Network: Amex),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A01).
gen_amex_A02_emotional,general,authorization,WHY was I charged without my permission?! FIX THIS NOW! (Network: Amex),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A02).
gen_amex_A02_narrative,general,authorization,"Hello, I hope this message finds you well. I had quite a busy day yesterday, running errands and catching up with an old friend over coffee. However, when I checked my credit card statement this morning, I noticed a charge that I don't recall authorizing. It's quite puzzling because I always make sure to double-check my transactions. Could you please help me understand what happened here? Thank you so much for your assistance. (Network: Amex)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A02).
gen_amex_A02_ambiguous,general,authorization,I noticed something odd on my statement. It seems like there was a mix-up with one of the entries. Could you look into it for me? (Network: Amex),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A02).
gen_amex_A08_emotional,general,authorization,WHY was my card declined? FIX THIS NOW! I need answers ASAP! (Network: Amex),Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A08).
gen_amex_A08_narrative,general,authorization,"Hello, I hope this message finds you well. I had quite an eventful day yesterday. I started with a lovely breakfast at my favorite café, and then I went shopping for some essentials. However, when I tried to use my Amex card at the store, it was unexpectedly declined. I was quite surprised because I had checked my balance earlier, and everything seemed fine. Could you please help me understand why this happened? Thank you so much for your assistance. (Network: Amex)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A08).
gen_amex_A08_ambiguous,general,authorization,"I was at the checkout, and something unexpected happened. The transaction didn't go through, and I was left standing there, unsure of what to do next. It was quite puzzling, and I hope you can shed some light on this situation. (Network: Amex)",Refined general → authorization using reason_codes_catalog reason_code_group=authorization (amex/A08).
gen_amex_M01_emotional,general,retrieval_inquiry,WHY was I charged?! FIX THIS NOW! I DIDN'T AUTHORIZE! (Network: Amex),Refined general → retrieval_inquiry using reason_codes_catalog reason_code_group=retrieval_inquiry (amex/M01).
